,RECIPE,RECIPE_LINK
0,MILLET KHEER,https://food.ndtv.com/recipe-millet-kheer-958604
1,KHAMAN DHOKLA,https://food.ndtv.com/recipe-khaman-dhokla-958603
2,ENNAI KATHRIKAI KULAMBU,https://food.ndtv.com/recipe-ennai-kathrikai-kulambu-958601
3,BEETROOT KOFTA CURRY,https://food.ndtv.com/recipe-beetroot-kofta-curry-958599
4,KONKANI FRIED CHICKEN,https://food.ndtv.com/recipe-konkani-fried-chicken-958592
5,MANGO KIWI CHUTNEY,https://food.ndtv.com/recipe-mango-kiwi-chutney-958590
6,NALLI GOSHT BIRYANI,https://food.ndtv.com/recipe-nalli-gosht-biryani-958575
7,HYDERABADI PASINDAY,https://food.ndtv.com/recipe-hyderabadi-pasinday-958510
8,RAJGIRA CHIKKI,https://food.ndtv.com/recipe-rajgira-chikki-958478
9,LASOONI DAHI TADKA,https://food.ndtv.com/recipe-lasooni-dahi-tadka-958474
10,BEETROOT IDLI FRY,https://food.ndtv.com/recipe-beetroot-idli-fry-958470
11,HIMACHALI CHICKEN CURRY,https://food.ndtv.com/recipe-himachali-chicken-curry-958469
12,COCONUT RABRI,https://food.ndtv.com/recipe-coconut-rabri-958465
13,GONGURA CHICKEN CURRY,https://food.ndtv.com/recipe-gongura-chicken-curry-958462
14,SHALJAM GOSHT,https://food.ndtv.com/recipe-shaljam-gosht-958461
15,TOMATO PACHADI,https://food.ndtv.com/recipe-tomato-pachadi-958459
16,VENDAKKAI THENGA CURRY,https://food.ndtv.com/recipe-vendakkai-thenga-curry-958454
17,CHICKPEAS TIKKA MASALA,https://food.ndtv.com/recipe-chickpeas-tikka-masala-958453
18,STUFFED PALAK IDLI,https://food.ndtv.com/recipe-stuffed-palak-idli-958440
19,HARYANVI KADHI,https://food.ndtv.com/recipe-haryanvi-kadhi-958438
20,AMRITSARI SOOKHI DAL,https://food.ndtv.com/recipe-amritsari-sookhi-dal-958430
21,LOW CALORIE TEEN RATNA DAL,https://food.ndtv.com/recipe-low-calorie-teen-ratna-dal-958420
22,BEETROOT HALWA,https://food.ndtv.com/recipe-beetroot-halwa-958414
23,MULTIGRAIN LADDU,https://food.ndtv.com/recipe-multigrain-laddu-958412
24,KALAKAND,https://food.ndtv.com/recipe-kalakand-958410
25,KERALA-STYLE MUTTON CURRY,https://food.ndtv.com/recipe-kerala-style-mutton-curry-958405
26,BHAPA DOI ,https://food.ndtv.com/recipe-bhapa-doi-958400
27,ACHAARI LACHHA PARATHA,https://food.ndtv.com/recipe-achaari-lachha-paratha-958386
28,RAGI PARATHA,https://food.ndtv.com/recipe-ragi-paratha-958381
29,PUNJABI BAIGAN BHARTA,https://food.ndtv.com/recipe-punjabi-baigan-bharta-958371
30,BAINGAN SAMBHAR,https://food.ndtv.com/recipe-baingan-sambhar-958369
31,JAGGERY MALPUA,https://food.ndtv.com/recipe-jaggery-malpua-958362
32,SATTU KACHORI,https://food.ndtv.com/recipe-sattu-kachori-958361
33,KEERAI VADAI (SPINACH VADA),https://food.ndtv.com/recipe-keerai-vadai-spinach-vada-958353
34,KUMAONI JHOLI,https://food.ndtv.com/recipe-kumaoni-jholi-958347
35,CHILLI CHEESE GARLIC PARATHA,https://food.ndtv.com/recipe-chilli-cheese-garlic-paratha-958345
36,CHILKA ROTI,https://food.ndtv.com/recipe-chilka-roti-958339
37,GIRMIT,https://food.ndtv.com/recipe-girmit-958338
38,GUR CHOORMA LADOO,https://food.ndtv.com/recipe-gur-choorma-ladoo-958337
39,OBBATTU,https://food.ndtv.com/recipe-obbattu-958335
40,ATTA VEGETABLE KHICHDI,https://food.ndtv.com/recipe-atta-vegetable-khichdi-958332
41,PEANUT & JAM MODAK,https://food.ndtv.com/recipe-peanut-jam-modak-958329
42,KANCHIPURAM IDLI,https://food.ndtv.com/recipe-kanchipuram-idli-958322
43,ACHAARI PANEER PULAO,https://food.ndtv.com/recipe-achaari-paneer-pulao-958321
44,CHEESE MYSORE MASALA DOSA,https://food.ndtv.com/recipe-cheese-mysore-masala-dosa-958317
45,ALOO AUR BEETROOT KA HALWA,https://food.ndtv.com/recipe-aloo-aur-beetroot-ka-halwa-958313
46,ATTA VEGETABLE DOSA,https://food.ndtv.com/recipe-atta-vegetable-dosa-958308
47,DARBARI DAL,https://food.ndtv.com/recipe-darbari-dal-958307
48,VEGETABLE ROTI,https://food.ndtv.com/recipe-vegetable-roti-958305
49,NON FRIED MASALA BANANA CHIPS,https://food.ndtv.com/recipe-non-fried-masala-banana-chips-958299
50,MASOOR DAL VADA,https://food.ndtv.com/recipe-masoor-dal-vada-958298
51,COCONUT AND DING LADOO,https://food.ndtv.com/recipe-coconut-and-ding-ladoo-958297
52,SUGAR FREE CHOCOLATE SANDESH,https://food.ndtv.com/recipe-sugar-free-chocolate-sandesh-958296
53,HIMACHALI BEDUAN ROTI,https://food.ndtv.com/recipe-himachali-beduan-roti-958290
54,CHETTINAD PANIYARAM,https://food.ndtv.com/recipe-chettinad-paniyaram-958286
55,IDLI IN COCONUT SAUCE,https://food.ndtv.com/recipe-idli-in-coconut-sauce-958261
56,COORGI GHEE RICE,https://food.ndtv.com/recipe-coorgi-ghee-rice-958260
57,DAHIWALI TOOR DAL,https://food.ndtv.com/recipe-dahiwali-toor-dal-958244
58,KOFTA KADHI,https://food.ndtv.com/recipe-kofta-kadhi-958221
59,RAW BANANA FRY (ARATIKAYA FRY),https://food.ndtv.com/recipe-raw-banana-fry-aratikaya-fry-958190
60,ELNEER PAYASAM,https://food.ndtv.com/recipe-elneer-payasam-958187
61,SOYA DAL PARATHA,https://food.ndtv.com/recipe-soya-dal-paratha-958174
62,SOUTH INDIAN DAHI KADHI,https://food.ndtv.com/recipe-south-indian-dahi-kadhi-958165
63,GULKAND ICE CREAM,https://food.ndtv.com/recipe-gulkand-ice-cream-958161
64,CURRY LEAVES THOGAYAL,https://food.ndtv.com/recipe-curry-leaves-thogayal-958146
65,3-INGREDIENT STUFFED MANGO KULFI,https://food.ndtv.com/recipe-3-ingredient-stuffed-mango-kulfi-958145
66,DOLI KI ROTI,https://food.ndtv.com/recipe-doli-ki-roti-958137
67,ALOO PALAK PARATHA,https://food.ndtv.com/recipe-aloo-palak-paratha-958119
68,CHEESE BAIDA ROTI,https://food.ndtv.com/recipe-cheese-baida-roti-958094
69,CHETTINAD CHICKEN BIRYANI,https://food.ndtv.com/recipe-chettinad-chicken-biryani-958093
70,ANDHRA-STYLE TOMATO CHUTNEY,https://food.ndtv.com/recipe-andhra-style-tomato-chutney-958089
71,LEMON RASAM,https://food.ndtv.com/recipe-lemon-rasam-958083
72,SOYA CHANA DAL BHURJI,https://food.ndtv.com/recipe-soya-chana-dal-bhurji-958067
73,CHICKEN KOTHU PAROTTA,https://food.ndtv.com/recipe-chicken-kothu-parotta-958066
74,MASOOR DAL KHICHDI,https://food.ndtv.com/recipe-masoor-dal-khichdi-958062
75,BANANA KHEER,https://food.ndtv.com/recipe-banana-kheer-958056
76,HARYALI SUBZ PULAO,https://food.ndtv.com/recipe-haryali-subz-pulao-958049
77,GLUTEN FREE RAGI PARIPU NEER DOSA,https://food.ndtv.com/recipe-gluten-free-ragi-paripu-neer-dosa-958048
78,BANANA APPAM,https://food.ndtv.com/recipe-banana-appam-958021
79,PANEER PARATHA,https://food.ndtv.com/recipe-paneer-paratha-958018
80,PALAK PANEER LIFAFA,https://food.ndtv.com/recipe-palak-paneer-lifafa-958012
81,CHICKEN EGG PARANTHA ROLL,https://food.ndtv.com/recipe-chicken-egg-parantha-roll-958011
82,TANGY TAMARIND PRAWN CURRY,https://food.ndtv.com/recipe-tangy-tamarind-prawn-curry-958005
83,UP-STYLE LAPSI,https://food.ndtv.com/recipe-up-style-lapsi-957979
84,VADAPOO CUTLET,https://food.ndtv.com/recipe-vadapoo-cutlet-957954
85,ANDHRA STYLE GUNTUR IDLI,https://food.ndtv.com/recipe-andhra-style-guntur-idli-957949
86,KEERAI MOLAGOOTAL,https://food.ndtv.com/recipe-keerai-molagootal-957947
87,HYDERABADI VEG DALCHA,https://food.ndtv.com/recipe-hyderabadi-veg-dalcha-957936
88,PHOOL MAKHANE KI KHEER,https://food.ndtv.com/recipe-phool-makhane-ki-kheer-957931
89,BEETROOT UTTAPAM,https://food.ndtv.com/recipe-beetroot-uttapam-957907
90,COCONUT POLI,https://food.ndtv.com/recipe-coconut-poli-957905
91,BHANG GUJIYA,https://food.ndtv.com/recipe-bhang-gujiya-957903
92,CHOCOLATE GUJIYA,https://food.ndtv.com/recipe-chocolate-gujiya-957899
93,RANGEELA BARFI,https://food.ndtv.com/recipe-rangeela-barfi-957893
94,MASALA TOMATO UPMA,https://food.ndtv.com/recipe-masala-tomato-upma-957889
95,URAD DAL KADHI,https://food.ndtv.com/recipe-urad-dal-kadhi-957864
96,ANCIENT GRAIN UPMA,https://food.ndtv.com/recipe-ancient-grain-upma-957854
97,LEFTOVER DAL CHEELA,https://food.ndtv.com/recipe-leftover-dal-cheela-957825
98,KERALA-STYLE NARANGA ACHAAR,https://food.ndtv.com/recipe-kerala-style-naranga-achaar-957801
99,KERALA-STYLE PARIPPU (MASOOR DAL) CURRY,https://food.ndtv.com/recipe-kerala-style-parippu-masoor-dal-curry-957795
100,SAKKARAI PONGAL,https://food.ndtv.com/recipe-sarkarai-pongal-957737
101,UPPERI,https://food.ndtv.com/recipe-upperi-957724
102,ELUMBU RASAM,https://food.ndtv.com/recipe-elumbu-rasam-957699
103,CHANA DAL VADA,https://food.ndtv.com/recipe-chana-dal-vada-957698
104,MASALA UTTAPAM,https://food.ndtv.com/recipe-masala-uttapam-957690
105,KUSKA BIRYANI,https://food.ndtv.com/recipe-kuska-biryani-957581
106,PANEER BHATURA,https://food.ndtv.com/recipe-paneer-bhatura-957534
107,PAYYOLI CHICKEN FRY,https://food.ndtv.com/recipe-payyoli-chicken-fry-957048
108,HYDERABADI DUM CHAI,https://food.ndtv.com/recipe-hyderabadi-dum-chai-957019
109,ALOO KULCHA,https://food.ndtv.com/recipe-aloo-kulcha-956979
110,PAHADI KAIRI KI CHUTNEY WITH GAHAT DAL PARATHA,https://food.ndtv.com/recipe-pahadi-kairi-ki-chutney-with-gahat-dal-daratha-956924
111,BUTTER CHICKEN KULCHA,https://food.ndtv.com/recipe-butter-chicken-kulcha-956770
112,JACKFRUIT AND SPINACH SAMBAR,https://food.ndtv.com/recipe-jackfruit-and-spinach-sambar-956692
113,CHANA DAL PULAO,https://food.ndtv.com/recipe-chana-dal-pulao-956656
114,THANDAI MACARON,https://food.ndtv.com/recipe-thandai-macaron-956571
115,MALAI GUJIYA,https://food.ndtv.com/recipe-malai-gujiya-956558
116,THANDAI CHEESECAKE,https://food.ndtv.com/recipe-thandai-cheesecake-956556
117,ANNANAS AUR KALONJI KI GUJIYA,https://food.ndtv.com/recipe-annanas-aur-kalonji-ki-gujiya-956555
118,CHOCOLATE AND CEREAL KI GUJIYA,https://food.ndtv.com/recipe-chocolate-and-cereal-ki-gujiya-956552
119,SITAFAL BASUNDI,https://food.ndtv.com/recipe-sitafal-basundi-956549
120,CHILLI IDLI,https://food.ndtv.com/recipe-chilli-idli-956384
121,KHAS KHAS AND GUD KI PANJIRI,https://food.ndtv.com/recipe-khas-khas-and-gud-ki-panjiri-956333
122,NALLI KA SALAN,https://food.ndtv.com/recipe-nalli-ka-salan-956226
123,KEEMA NAAN,https://food.ndtv.com/recipe-keema-naan-956184
124,PALAK VADA,https://food.ndtv.com/recipe-palak-vada-956145
125,JALEBI CHURROS,https://food.ndtv.com/recipe-jalebi-churros-956140
126,ALOO DO PYAZA,https://food.ndtv.com/recipe-aloo-do-pyaza-956131
127,PANEER MASALA FRY,https://food.ndtv.com/recipe-paneer-masala-fry-956125
128,GUD TIL LADOO,https://food.ndtv.com/recipe-gud-til-ladoo-956120
129,EGG SAMOSA,https://food.ndtv.com/recipe-egg-samosa-956117
130,POHA CHAAT,https://food.ndtv.com/recipe-poha-chaat-956101
131,BUTTER CHICKEN PASTA,https://food.ndtv.com/recipe-butter-chicken-pasta-956092
132,MATAR SAMOSA,https://food.ndtv.com/recipe-matar-samosa-956083
133,RAJASTHANI HALDI SABZI,https://food.ndtv.com/recipe-rajasthani-haldi-sabzi-956080
134,CHANA DAL CHIKKI,https://food.ndtv.com/recipe-chana-dal-chikki-956072
135,ATTHE MUTTON CURRY,https://food.ndtv.com/recipe-atthe-mutton-curry-956043
136,CHOLE SAMOSA CHAAT,https://food.ndtv.com/recipe-chole-samosa-chaat-956041
137,KERALA EGG CURRY,https://food.ndtv.com/recipe-kerala-egg-curry-956008
138,KARIWARI CHICKEN CURRY,https://food.ndtv.com/recipe-kariwari-chicken-curry-955982
139,QUINOA AND SABUDANA KESARI BATH,https://food.ndtv.com/recipe-quinoa-and-sabudana-kesari-bath-955958
140,BREAD DAHI CHAAT,https://food.ndtv.com/recipe-bread-dahi-chaat-955944
141,BREAD MEDU VADA,https://food.ndtv.com/recipe-bread-medu-vada-955935
142,3-INGREDIENT ONION PICKLE,https://food.ndtv.com/recipe-3-ingredient-onion-pickle-955910
143,DAHI SAMOSA CHAAT,https://food.ndtv.com/recipe-dahi-samosa-chaat-955909
144,ADRAK KA ACHAR,https://food.ndtv.com/recipe-adrak-ka-achar-955834
145,IDLI DHOKLA,https://food.ndtv.com/recipe-idli-dhokla-955824
146,KARNATAKA STYLE PURAN POLI,https://food.ndtv.com/recipe-karnataka-style-puran-poli-955601
147,MUTTON SUKKA,https://food.ndtv.com/recipe-mutton-sukka-955536
148,CHICKEN KONDATTAM,https://food.ndtv.com/recipe-chicken-kondattam-955498
149,HOMEMADE BREAD GULAB JAMUN,https://food.ndtv.com/recipe-homemade-bread-gulab-jamun-955494
150,CHOCO-ELAICHI PEDA,https://food.ndtv.com/recipe-choco-elaichi-peda-955471
151,NUTS BARFI,https://food.ndtv.com/recipe-nuts-barfi-955470
152,LAUKI ROTI,https://food.ndtv.com/recipe-lauki-roti-955416
153,DIABETIC-FRIENDLY RABRI,https://food.ndtv.com/recipe-diabetic-friendly-rabri-955412
154,ALOO POHA,https://food.ndtv.com/recipe-aloo-poha-955398
155,PANEER TIKKA TOAST,https://food.ndtv.com/recipe-paneer-tikka-toast-955386
156,JHAJARIYA,https://food.ndtv.com/recipe-jhajariya-955385
157,CHINESE IDLI,https://food.ndtv.com/recipe-chinese-idli-955342
158,VARO MITHAI,https://food.ndtv.com/recipe-varo-mithai-955323
159,SWEET POTATO SHRIKHAND,https://food.ndtv.com/recipe-sweet-potato-shrikhand-955318
160,ACHARI PANEER PARATHA,https://food.ndtv.com/recipe-achari-paneer-paratha-955294
161,KASHMIRI ROTI,https://food.ndtv.com/recipe-kashmiri-roti-955291
162,LYCHEE RABRI KULFI,https://food.ndtv.com/recipe-lychee-rabri-kulfi-955287
163,CHILLI PAROTTA,https://food.ndtv.com/recipe-chilli-parotta-955271
164,PAAL POLI,https://food.ndtv.com/recipe-paal-poli-955269
165,CHICKEN SALNA,https://food.ndtv.com/recipe-chicken-salna-955254
166,PANEER DO PYAZA,https://food.ndtv.com/recipe-paneer-do-pyaza-955250
167,GOLI IDLI,https://food.ndtv.com/recipe-goli-idli-955242
168,NADAN KOZHI CURRY,https://food.ndtv.com/recipe-nadan-kozhi-curry-955234
169,NILAKADALAI CHUTNEY,https://food.ndtv.com/recipe-nilakadalai-chutney-955208
170,CHICKEN KEEMA IDLI,https://food.ndtv.com/recipe-chicken-keema-idli-955192
171,KULCHA NAAN,https://food.ndtv.com/recipe-kulcha-naan-955183
172,AGRA PARATHA THALI,https://food.ndtv.com/recipe-agra-paratha-thali-955179
173,EGG MAKHANI,https://food.ndtv.com/recipe-egg-makhani-955164
174,ALOO KI JALEBI,https://food.ndtv.com/recipe-aloo-ki-jalebi-955158
175,INDIAN BAKED SAMOSA PIE,https://food.ndtv.com/recipe-indian-baked-samosa-pie-955155
176,MANGO CHICKEN CURRY,https://food.ndtv.com/recipe-mango-chicken-curry-955152
177,SHAHI LASSI,https://food.ndtv.com/recipe-shahi-lassi-955131
178,TANDOORI EGG,https://food.ndtv.com/recipe-tandoori-egg-955126
179,KOTTE KADUBU,https://food.ndtv.com/recipe-kotte-kadubu-955123
180,GREEN MANGO KULUKKI,https://food.ndtv.com/recipe-green-mango-kulukki-955093
181,BAGARA EGG MASALA,https://food.ndtv.com/recipe-bagara-egg-masala-955083
182,TOMATO AND FENUGREEK CHUTNEY,https://food.ndtv.com/recipe-tomato-and-fenugreek-chutney-955073
183,KHATTE LEHSUNI ALOO,https://food.ndtv.com/recipe-khatte-lehsuni-aloo-955067
184,GREEN FISH CURRY,https://food.ndtv.com/recipe-green-fish-curry-955061
185,ONION GARLIC PARANTHA,https://food.ndtv.com/recipe-onion-garlic-parantha-955060
186,BARLEY AND MOONG DAL KHICHDI,https://food.ndtv.com/recipe-barley-and-moong-dal-khichdi-955058
187,VEGETABLE CRISPY SAMOSA,https://food.ndtv.com/recipe-vegetable-crispy-samosa-955045
188,PANEER MAKHANWALA,https://food.ndtv.com/recipe-paneer-makhanwala-955041
189,HYDERABADI BAGARA KHANA (BAGARA RICE),https://food.ndtv.com/recipe-hyderabadi-bagara-khana-bagara-rice-955023
190,BAJRA DOSA,https://food.ndtv.com/recipe-bajra-dosa-954946
191,CHURUMURI,https://food.ndtv.com/recipe-churumuri-954751
192,MEETHI KOKI,https://food.ndtv.com/recipe-meethi-koki-954746
193,PANEER THREAD ROLLS,https://food.ndtv.com/recipe-paneer-thread-rolls-954549
194,LEMON COCONUT SQUARES,https://food.ndtv.com/recipe-lemon-coconut-squares-954530
195,ARSA,https://food.ndtv.com/recipe-arsa-954529
196,MAKAI KI GALVANI,https://food.ndtv.com/recipe-makai-ki-galvani-954528
197,DHORA RA GOTAKA,https://food.ndtv.com/recipe-dhora-ra-gotaka-954527
198,CHUKANDAR KA HALWA WITH VANILLA ICE CREAM,https://food.ndtv.com/recipe-chukandar-ka-halwa-with-vanilla-ice-cream-954516
199,CHOCOLATE FROZEN PHIRNI,https://food.ndtv.com/recipe-chocolate-frozen-phirni-954515
200,TIRANGA PASTRY,https://food.ndtv.com/recipe-tiranga-pastry-954510
201,RAJASTHANI KADHI WITH TOFU PALAK PAKODA,https://food.ndtv.com/recipe-rajasthani-kadhi-with-tofu-palak-pakoda-954506
202,ALMOND AND ROSE KHEER,https://food.ndtv.com/recipe-almond-and-rose-kheer-954499
203,BANANA COCONUT IDLI,https://food.ndtv.com/recipe-banana-coconut-idli-954482
204,CHUR CHUR NAAN,https://food.ndtv.com/recipe-chur-chur-naan-954470
205,NIMBU AUR HALDI KA DUWARI MURGH,https://food.ndtv.com/recipe-nimbu-aur-haldi-ka-duwari-murgh-954441
206,LAAL MAAS,https://food.ndtv.com/recipe-laal-maas-954388
207,CRISPY KALAKAND,https://food.ndtv.com/recipe-crispy-kalakand-954387
208,HARA DANA METHI BAIL GATTA CURRY,https://food.ndtv.com/recipe-hara-dana-methi-bail-gatta-curry-954379
209,KESAR PISTA PHIRNI,https://food.ndtv.com/recipe-kesar-pista-phirni-954373
210,MURGH MALAI TIKKA WITH MINT CHUTNEY,https://food.ndtv.com/recipe-murgh-malai-tikka-with-mint-chutney-954372
211,BESAN KE LADDOO,https://food.ndtv.com/recipe-besan-ke-laddoo-954371
212,KHOYA KHURCHAN PARATHA,https://food.ndtv.com/recipe-khoya-khurchan-paratha-954368
213,NEEM CHUTNEY,https://food.ndtv.com/recipe-neem-chutney-954327
214,SWEET KACHORIS,https://food.ndtv.com/recipe-sweet-kachoris-954285
215,THANDAI MOUSSE,https://food.ndtv.com/recipe-thandai-mousse-954278
216,JALEBI CHAAT,https://food.ndtv.com/recipe-jalebi-chaat-954276
217,TANDOORI BLACKED POMFRET,https://food.ndtv.com/recipe-tandoori-blacked-pomfret-954260
218,SINDHI KADHI,https://food.ndtv.com/recipe-sindhi-kadhi-954177
219,ZAITOONI SUBZ BIRYANI,https://food.ndtv.com/recipe-zaitooni-subz-biryani-954173
220,RASMALAI TIRAMISU,https://food.ndtv.com/recipe-rasmalai-tiramisu-954001
221,CRUNCHY VEGETABLE DAL SATTU CROQUETTES,https://food.ndtv.com/recipe-crunchy-vegetable-dal-sattu-croquettes-953986
222,SUGAR FREE MODAK,https://food.ndtv.com/recipe-sugar-free-modak-953935
223,BEETROOT MODAK,https://food.ndtv.com/recipe-beetroot-modak-953934
224,ACTIVE CHARCOAL MODAK,https://food.ndtv.com/recipe-active-charcoal-modak-953933
225,FLAX SEED AND BEETROOT MODAK,https://food.ndtv.com/recipe-flax-seed-and-beetroot-modak-953928
226,SAFFRON AND SESAME MODAK,https://food.ndtv.com/recipe-saffron-and-sesame-modak-953927
227,CHICKOO LASSI,https://food.ndtv.com/recipe-chickoo-lassi-953921
228,GHAVAN,https://food.ndtv.com/recipe-ghavan-953920
229,ANDHRA PAN FRIED POMFRET,https://food.ndtv.com/recipe-andhra-pan-fried-pomfret-953919
230,ANDHRA CRAB MEAT MASALA,https://food.ndtv.com/recipe-andhra-crab-meat-masala-953916
231,NEY APPAM,https://food.ndtv.com/recipe-nei-appam-953892
232,MALABARI FISH CURRY,https://food.ndtv.com/recipe-malabari-fish-curry-953726
233,GHEE ROAST CHICKEN DOSA QUESADILLA,https://food.ndtv.com/recipe-ghee-roast-chicken-dosa-quesadilla-953692
234,BAMBOO BIRYANI,https://food.ndtv.com/recipe-bamboo-biryani-953676
235,CHICKEN GILAFI KEBAB,https://food.ndtv.com/recipe-chicken-gilafi-kebab-953625
236,KIMAMI SEWAIYAN,https://food.ndtv.com/recipe-kimami-sewaiyan-953624
237,AWADHI GOSHT KORMA,https://food.ndtv.com/recipe-awadhi-gosht-korma-953614
238,AJWAINI PANEER KOFTA CURRY,https://food.ndtv.com/recipe-ajwaini-paneer-kofta-curry-953568
239,KESARI SHRIKHAND,https://food.ndtv.com/recipe-kesari-shrikhand-953540
240,KANJI VADA,https://food.ndtv.com/recipe-kanji-vada-953501
241,THANDAI BARFI,https://food.ndtv.com/recipe-thandai-barfi-953499
242,CHOCOLATE PRUNES GUJIYAS,https://food.ndtv.com/recipe-chocolate-prunes-gujiyas-953497
243,KESARI GUJIYA,https://food.ndtv.com/recipe-kesari-gujiya-953493
244,BHANG PEDA,https://food.ndtv.com/recipe-bhang-peda-953492
245,PLUCK STYLE CLASSIC DAHI VADA,https://food.ndtv.com/recipe-pluck-style-classic-dahi-vada-953491
